AREA,SUBAREA,ISBN,TITULO,ED,ANIO,AUTOR,EDITORIAL,STOCK,PVP_S
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-9969-007-0,"INNOVACION, INNOVADORES Y EMPRESA INNOVADORA",1,2011,CORMA,DIAZ DE SANTOS,4,30.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-9116-580-4,ORGANIZACIONES ORIENTADAS AL DATO,1,2016,CURTO,UOC,2,39.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-607-526-814-9,TEORIA Y DISEÑO ORGANIZACIONAL,12,2019,DAFT,CENGAGE LEARNING,8,203.3
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-968-18-1535-6,DESARROLLO ORGANIZACIONAL. ENFOQUE INTEGRAL.,1,2016,DE FARIA,LIMUSA,2,42.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-607-707-683-4,ORGANIZACION Y TRANSFORMACION DE LOS SISTEMAS DE INFORMACION EN LA EMPRESA.,2,2013,DE PABLOS,ALFAOMEGA,2,50.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-7356-814-2E1,ORGANIZACION Y TRANSFORMACION DE LOS SISTEMAS DE INFORMACION EN LA EMPRESA.,1,2012,DE PABLOS,ESIC,2,36.2
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-607-15-1279-6,DESARROLLO SUSTENTABLE.,3,2015,DIAZ,MCGRAW-HILL,1,69.1
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-9064-693-9,¿COMO GESTIONAR EL CAMBIO EN UNA ORGANIZACION?,1,2015,GALLARDO,UOC,1,53.4
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-987-1826-76-6,YRRUPCION.,1,2014,HATUM,TEMAS,1,58.2
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-958-762-277-5,METODOLOGIAS PARA IMPLANTAR LA ESTRATEGIA: DISEÑO ORGANIZACIONAL DE LA EMPRESA,2,2015,HUAMAN,EDICIONES DE LA U,2,70.2
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-607-519-362-5,EL DIAMANTE DE LA EXCELENCIA ORGANIZACIONAL.,2,2015,KOVACEVIC,CENGAGE LEARNING,26,112.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-17209-51-3,CAMPEONES DE LA TRANSFORMACION DIGITAL,1,2018,LORENZO,PROFIT EDITORIAL,4,56.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-958-768-345-5,CLINICA ANALITICA DE LAS ORGANIZACIONES,1,2016,MANRIQUE,EAFIT,3,37.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-987-1826-15-5,"ECO ESTUDIOS CRITICOS SOBRE ORGANIZACIONES. COMUNICACION, ORGANIZACION Y SOCIEDA",1,2012,MITJANS,TEMAS,4,25.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-958-59603-0-5,NEURO-INNOVACION Y CREATIVIDAD EN LAS ORGANIZACIONES,1,2016,ORTIZ,KLASSE,3,66.1
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-958-660-233-4,AUTISMO Y ORGANIZACION. UNA INTERPRETACION A PARTIR DE LA METAFORA BIOLOGICA,1,2015,PEREZ,UNIV. PEDAGOGICA Y TECNOLOGICA DE COLOMBIA.,7,15.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-987-716-024-6,DIAGNOSTICO ORGANIZACIONAL.,1,2015,PIÑEYRO,OSMAR D. BUYATTI LIBRERIA EDITORIAL,1,70.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-956-14-1458-7,DESARROLLO Y EFICACIA ORGANIZACIONAL,1R,2017,PUCHEU,EDICIONES UC,1,130.6
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-958-774-779-9,ORGANIZACIONES CULTURALES Y CREATIVAS,1,2019,RECAMAN,UNIV. DE LOS ANDES,5,41.2
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-607-17-0992-9,DESARROLLO ORGANIZACIONAL. ENFOQUE CONVERGENTE DE INVESTIGACION-ACCION,1R,2014,ROBLEDO,TRILLAS,2,50.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-956-14-1615-4,DIAGNOSTICO ORGANIZACIONAL,8,2015,RODRIGUEZ,EDICIONES UC,1,110.5
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-958-8675-88-6,SISTEMAS DE CONTROL DE GESTION.,1,2012,ROJAS,EDICIONES DE LA U,1,59.5
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-950-641-512-9,REMONTAR LAS CRISIS. EL DESENVOLVIMIENTO DE LAS ORGANIZACIONES EN SU CONTEXTO.,1,2007,SCHLEMENSON,GRANICA,1,5.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-949493-6-4,CAMBIANDO EL COMPORTAMIENTO DE LOS EMPLEADOS,1,2019,SHLOMO,REVERTE,3,61.2
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-17209-95-7,TRANSFORMACION RAPIDA EN 90 DIAS,2,2019,TABRIZI,PROFIT EDITORIAL,3,72.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-17209-87-2,EN TIEMPO DE DRAGONES. ENTENDER LA REVOLUCION TECNOLOGICA EN LAS ORGANIZACIO,1,2019,TORRES,PROFIT EDITORIAL,2,60.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-368-2280-9,EN BUSCA DE LO OBVIO. EL CAMINO MAS RAPIDO HACIA LA COMPETITIVIDAD.,1,2009,TROUT,PIRAMIDE,1,15.0
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-15581-81-9,ORGANIZAGION DE EMPRESAS PARA INGENIERIA,7,2014,TRUYOLS,DELTA,13,68.6
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-15986-59-1,MANUAL PRACTICO DE COMUNICACION EMPRESARIAL,1,2015,URCOLA,ESIC,13,52.7
ADMINISTRACION,"DESARROLLO Y CAMBIO ORGANIZACIONAL, REINGENIERIA",978-84-16115-54-9,ORGANIZARSE EN EL TRABAJO ¡ ES FACIL !,1,2015,ZEIGLER,PROFIT EDITORIAL,5,32.0
ADMINISTRACION,DICCIONARIOS ( ADMINISTRACION ),978-950-641-872-4,DICCIONARIO DE COMPETENCIAS TOMO 1. LA TRILOGIA. LAS 60 COMPETENCIAS MAS UTILIZA,1R,2017,ALLES,GRANICA,10,108.6
ADMINISTRACION,DICCIONARIOS ( ADMINISTRACION ),978-950-641-874-8,DICCIONARIO DE COMPORTAMIENTOS TOMO 2. LA TRILOGIA. 1500 COMPORTAMIENTOS RELACIO,1R,2017,ALLES,GRANICA,13,96.0
ADMINISTRACION,DICCIONARIOS ( ADMINISTRACION ),978-950-641-873-1,DICCIONARIO DE PREGUNTAS TOMO 3. LA TRILOGIA. LAS PREGUNTAS PARA EVALUAR LAS COI,2,2015,ALLES,GRANICA,2,80.0
ADMINISTRACION,DICCIONARIOS ( ADMINISTRACION ),978-950-641-618-8,DICCIONARIO DE TERMINOS RECURSOS HUMANOS,1R,2012,ALLES,GRANICA,1,93.1
ADMINISTRACION,DICCIONARIOS ( ADMINISTRACION ),978-612-46613-5-8,DICCIONARIO DE ADMINISTRACION. MAS DE 1000 TERMINOS SOBRE ADMINISTRACION PRIVADA,1,2015,ANDIA,EDICIONES ARTE Y PLUMA,6,35.3
ADMINISTRACION,DICCIONARIOS ( ADMINISTRACION ),978-607-707-377-2,DICCIONARIO DE LOGISTICA.,3,2013,SOLER,ALFAOMEGA,3,70.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-454-3295-2,CREACION Y GESTION DE EMPRESAS,8,2016,ACEITUNO,CEF. (CENTRO DE ESTUDIOS FINANCIEROS),1,50.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-8143-991-5,ORIENTACIONES PARA LA EVALUACION DE RIESGOS Y LAS REGLAS DE DECISION SEGUN LA NO,1,2019,AEAS,AENOR,2,130.6
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-368-4484-9,DIRECCION ESTRATEGICA INTERNACIONAL,3,2021,ALDEANUEVA,PIRAMIDE,4,143.6
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-950-641-980-6,12 PASOS PARA TRANSFORMARSE EN UN JEFE ENTRENADOR,1,2019,ALLES,GRANICA,9,62.9
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-950-641-566-2,DICCIONARIO DE PREGUNTAS TOMO 3 . LA TRILOGIA.LAS PREGUNTAS PARA EVALUAR LAS COM,2R,2013,ALLES,GRANICA,18,30.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-15735-53-3,CUADRO DE MANDO RETAIL.,2,2015,ALVAREZ,PROFIT EDITORIAL,5,42.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-17946-86-9,EL DIRECTIVO EN TIEMPOS DE INCERTIDUMBRE,1,2022,ANGEL,DEXTRA EDITORIAL,7,62.8
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-291-2807-9,COMPORTAMIENTO ESTRATEGICO,1R,2022,ANTELO,REVERTE,22,93.7
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-526-916-0,GERENCIA ESTRATEGICA. TEORIA Y CASOS,1,2020,ARBAIZA,CENGAGE LEARNING,9,183.1
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-9052-078-9,RITMO EMPRESARIAL: BAILA EN SINTONIA CON EL MERCADO,1,2017,BAGUER,DIAZ DE SANTOS,7,46.9
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-792-132-8,NEUROCIENCIAS APLICADAS EN LA EMPRESA. UNA NUEVA VISION DE LA DIRECCION DE EMPRE,1,2020,BARRIOS,EDICIONES DE LA U,4,56.6
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-9048-724-2,PROBLEMAS RESUELTOS DE MODELOS ESTATICOS Y OPTIMIZACION APLICADOS A LA ADMINISTR,1,2018,BURGOS,UNIVERSITAT POLITECNICA DE VALENCIA,9,68.6
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-8988-05-4,GESTION DEL PRONOSTICO ESTRATEGICO. UNA HERRAMIENTA DE PLANIFICACION EN LAS,1,2016,CADENA,CESA ( COLEGIO DE ESTUDIOS SUPERIOR DE ADMINISTRACION ),3,38.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-762-442-7,¡CONVIERTASE EN UN GERENTE EXCEPCIONAL!. 15 REGLAS DE ORO,1,2015,CAMPOS,EDICIONES DE LA U,5,27.2
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-17513-80-1,IMPACTO DE LAS INICIATIVAS DE GESTION DE IDEAS INTERNAS EN EL DESARROLLO DE UNA,1,2019,CAMPOS,ESIC,2,305.2
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-368-3999-9,DIRECCION DE EMPRESAS,1,2018,CASTILLO,PIRAMIDE,15,150.9
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-9961-305-5,ACTITUD GUAME! SORPRENDER Y CREAR VALOR EN LA VIDA PERSONAL Y EN LOS NEGOCIOS,1,2018,CATALAO,RAMON ARECES,4,82.3
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-950-641-893-9,ESTRATEGIA BONSAI. Y OTRAS ESTRATEGIAS PARA EL DESARROLLO DE LAS PYMES,1,2016,CLERI,GRANICA,13,79.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-950-9445-97-0,LA INFORMACION COMO SOPORTE DE LA DIRECCION II.,1,2011,CORRALES,TEMAS,2,5.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-722-340-8,INTERJUEGO DE SUEÑOS Y REALIDADES EN RELATOS DE EMPRESARIOS,1,2019,CORREA,UNIV. TECNOLOGICA DE PEREIRA,3,52.2
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-16583-03-4,CLAVES DEL LEAN MANAGEMENT,1,2016,CUATRECASAS,PROFIT EDITORIAL,2,56.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-9048-636-8,MANAGEMENT PARA LAS ADMINISTRACIONES PUBLICAS,1,2017,DE MIGUEL,UNIV. POLITECNICA DE VALENCIA,4,146.3
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,84-7356-445-6,DIRECCION Y GESTION DE LOS SISTEMAS DE INFORMACION EN LA EMPRESA.UNA VISION INTE,1R,2011,DE PABLOS,ESIC,1,20.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-368-4073-5,LA VALORACION ANTE UN CONTEXTO DE RIESGO. LA PRACTICA EMPRESARIAL,1,2019,DURBAN,PIRAMIDE,1,114.3
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-35-0855-4,LA NEGOCIACION. TEORIA Y PRACTICA,1,2011,ESGUERRA,TEMIS,1,25.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-987-4051-02-8,ADMINISTRACION SISTEMICA Y ESTRATEGICA,2,2017,FARRES,LIBRYCO,1,108.9
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-8463-93-0,DESCUBRIENDO LAS AREAS CIEGAS DE LA ALTA DIRECCION EMPRESARIAL,1,2017,GARCIA,INSTITUTO MEXICANO DE CONTADORES PUBLICOS,11,59.5
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-17526-97-9,INVESTIGACION EMPRESARIAL,1,2021,GARCIA,DELTA,1,49.9
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-945222-4-6,TRES PREGUNTAS PARA UNA GESTION ECONOMICA INTELIGENTE: UNA GUIA PARA LA TOMA DE,1,2016,GARCIA,LIBROS DE CABECERA,1,54.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-9961-394-9,FUNDAMENTOS DE GESTION DE EMPRESAS,2,2021,GARRIDO,RAMON ARECES,2,443.8
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-8988-14-6,DECISIONES GERENCIALES ESTRATEGICAS. UNA APLICACION A LA TEORIA DE JUEGOS,2,2017,GONZALEZ,CESA ( COLEGIO DE ESTUDIOS SUPERIOR DE ADMINISTRACION ),2,53.8
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-17-3872-1,"TOMA DE DECISIONES: DINAMICAS DE APRENDIZAJE, AUTOCONOCIMIENTO Y COMPRENSION",2,2020,GRADOS,TRILLAS,2,151.4
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-344-1922-3,EL PODER DE LAS IDEAS : CLAVES PARA ENTENDER EL SIGLO XXI,1,2015,GRAYLING,ARIEL,1,120.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-762-589-9,NEUROCREATIVIDAD EN LA EMPRESA.,1,2016,GUTIERREZ,EDICIONES DE LA U,2,37.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-17963-24-8,COMO DIRIGIR REUNIONES DE TRABAJO. SERIE MANAGEMENT EN 20 MINUTOS,1,2022,HARVARD BUSINESS REVIEW,REVERTE,8,17.7
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-17963-44-6,PIENSA ESTRATEGICAMENTE,1,2022,HARVARD BUSINESS REVIEW,REVERTE,18,55.8
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-17963-26-2,A CONTRACORRIENTE,1,2021,HEATH,REVERTE,18,58.8
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-9839-585-3,APLICACIONES INFORMATICAS DE GESTION COMERCIAL,1,2016,HERMIDA,IDEASPROPIAS,1,87.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-15330-80-6,MEJORES PRACTICAS DE GESTION EMPRESARIAL. COMO OPTIMIZAR EL CONTROL DE LA GESTIO,1,2012,HOPE,PROFIT EDITORIAL,2,71.9
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-8585-08-6,NORMAS FUNDAMENTALES SOBRE GESTION DE LA CALIDAD Y DOCUMENTOS DE ORIENTACION.,3,2010,ICONTEC,ICONTEC,2,30.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-522-817-4,ESTRATEGIA PARA EL EXITO DE LOS NEGOCIOS. LA PROSPECTIVA EMPRESARIAL,1,2016,INDACOCHEA,CENGAGE LEARNING,55,92.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-762-235-5,GERENCIAS DE LA INNOVACION.,2,2014,JARAMILLO,EDICIONES DE LA U,1,40.9
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-205-4618-6,DIRECCION ESTRATEGICA.,ULTR,2011,JOHNSON,PEARSON,1,35.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-16383-90-0,LA EMPRESA LIMPIA,1,2018,JUNQUERA,DELTA,2,133.4
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-975679-7-8,EL DISTINTIVO EMPRESARIAL EN MATERIA DE IGUALDAD.,DL,2012,KAHALE,SINTESIS,3,30.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-987-8358-16-1,ADMINISTRACION EN UNA PAGINA,1R,2021,KHADEM,GRANICA,4,62.7
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-950-641-982-0,LOGRANDO LA ALINEACION TOTAL,1,2019,KHADEM,GRANICA,5,67.8
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-771-781-5,AMAZON. COMO EL MINORISTA MAS IMPLACABLE DEL MUNDO CONTINUARA REVOLUCIONANDO EL,1,2019,KNIGHTS,ECOE,2,85.8
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-950-641-754-3,NUESTRO ICEBERG SE DERRITE,2R,2017,KOTTER,GRANICA,7,46.9
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-368-2582-4,INNOVACION ABIERTA Y ALTA COCINA. APRENDER A INNOVAR CON MUGARITZ,1,2011,LARREA,PIRAMIDE,1,40.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-15-0753-2,FUNDAMENTOS DE NEGOCIACION.,5,2012,LEWICKI,MCGRAW-HILL,22,55.5
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-9198-655-3,PERSONAL DIRECTIVO DE EMPRESA. SEGUNDO CICLO DE FORMACION EN P.R.L,1,2019,LINARES,IC EDITORIAL (INNOVACION Y CUALIFICACION),4,31.2
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-9198-695-9,TPC VIDRIO. DIRECTIVOS DE LAS EMPRESAS,1,2019,LINARES,IC EDITORIAL (INNOVACION Y CUALIFICACION),5,31.6
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-792-382-7,GERENCIA DE INNOVACION,1,2022,MALDONADO,EDICIONES DE LA U,1,47.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-368-4333-0,ESTUDIO DE CASOS EN FORMATO COMIC SOBRE DECISIONES ESTRATEGICAS DE DIRECCION DE,1,2020,MAQUEIRA,PIRAMIDE,4,105.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-9961-307-9,SOS! ME HAN HECHO JEFE,1,2018,MARIA,RAMON ARECES,6,51.5
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-867-511-4,GESTION DEL CAMBIO Y LA INNOVACION EN LA EMPRESA. UN MODELO PARA LA INNOVACION.,1,2010,MARTINEZ,EDICIONES DE LA U,3,15.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-9021-652-1,CALLE DE LA OBSERVACION CREATIVA,1,2019,MATAS,ICB EDITORES,5,46.9
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-92970-10-0,CON LOS OJOS ABIERTOS. VIVENCIAS DE UN PROFESIONAL,1,2011,MATEOS,BELLISCO,8,35.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-17-0632-4,CAPACITACION PARA LA CALIDAD Y LA PRODUCTIVIDAD,4,2011,MENDOZA,TRILLAS,1,60.3
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-987-1420-04-9,"EL PERFECTO GARCON. SERVIR ES UN ARTE, PERO TAMBIEN UN NEGOCIO.",1,2007,MIGOYO,MACCHI,3,5.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-519-187-4,INGENIERIA DE LA EXPORTACION.,1,2014,MINERVINI,CENGAGE LEARNING,1,132.1
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-283-9759-9,GESTION ADMINISTRATIVA PARA EL ASESORAMIENTO DE PRODUCTOS DE ACTIVO,1,2015,NAVARRO,PARANINFO,5,49.3
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-848-356-146-1,ZAG. CUANDO TODOS HACEN ZIG TU HAZ ZAG. COMO SUPERAR A TUS COMPETIDORES,2,2011,NEUMEIER,LID,2,12.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-762-680-3,"ESTRATEGIA EMPRESARIAL. LA RUTA EQUITY PLUS, EL CAMINO PARA CONSQUISTAR NUEVOS H",1,2017,NIETO,EDICIONES DE LA U,1,65.2
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-368-4528-0,INTRODUCCION A LA OPTIMIZACION DE DECISIONES,1,2021,NIÑO,PIRAMIDE,4,114.1
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-8463-57-2,PRESUPUESTOS UN ENFOQUE GERENCIAL,5,2016,PACHECO,INSTITUTO MEXICANO DE CONTADORES PUBLICOS,10,74.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-17942-16-8,SOSTENIBILIDAD. CON PROPOSITO,1,2019,PALENCIA,PROFIT EDITORIAL,1,53.8
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-9745-917-4,"GESTION HORIZONTAL. ESTRATEGIAS, TECNICAS Y HERRAMIENTAS",1,2011,PANZANO,NETBIBLO,1,50.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-283-4173-8,AUDITORIA DE LAS AREAS DE LA EMPRESA,1,2018,PELAZAS,PARANINFO,3,68.6
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-519-878-1,ESTRATEGIA GLOBAL.,3,2015,PENG,CENGAGE LEARNING,20,97.2
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-771-630-6,GERENCIA ESTRATEGICA CORPORATIVA,1,2018,PEREZ,ECOE,2,81.2
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-987-601-150-1,PENSAR LA ESTRATEGIA,1,2012,PEREZ,LA CRUJIA,1,30.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-7356-896-8,CONTROL DE GESTION EMPRESARIAL. TEXTO Y CASOS,8,2013,PEREZ-CARBALLO,ESIC,11,48.2
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-538-497-9,101 CLAVES PARA FORMADORES DE EMPRESA,1,2020,PUCHOL,ALFAOMEGA,1,101.2
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-792-156-4,COMO SER EL N. 1. TECNICAS Y ESTRATEGIAS PRACTICAS DE SEO,1,2020,RAMOS,EDICIONES DE LA U,4,40.3
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-764-567-5,LA GESTION ESTRATEGICA INTEGRAL (GESI) EN LA PRACTICA,1,2018,RIASCOS,UNIV. PONTIFICIA BOLIVARIANA,2,115.5
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-8585-11-6,EVALUACION INTEGRAL DE LA GESTION CORPORATIVA,1,2010,RIOS,ICONTEC,1,20.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-17-3973-5,DIRECCION ESTRATEGICA,2,2021,RIVAS,TRILLAS,2,225.6
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-784-261-6,TURBULENCIA EMPRESARIAL. LECCIONES APRENDIDAS,1,2019,RIVERA,UNIV. DEL ROSARIO,2,54.9
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-15986-00-3,ALIANZAS ESTRATEGICAS EN LA PRACTICA.,1,2014,SAINZ,ESIC,7,31.7
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-958-97648-8-6,GESTION DE ESTRATEGIA DE LA DEMANDA.,1,2011,SALAZAR,CESA ( COLEGIO DE ESTUDIOS SUPERIOR DE ADMINISTRACION ),1,20.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-313-3380-5,LA DIRECCION DE LAS ORGANIZACIONES,1,2019,SASTRE,EUNSA,9,72.3
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-950-641-421-4,LA QUINTA DISCIPLINA EN LA PRACTICA. ESTRATEGIAS Y HERRAMIENTAS PARA CONSTRUIR,8R,2018,SENGE,GRANICA,6,140.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-612-46725-6-9,NEGOCIACIONES Y TEORIA DE LOS JUEGOS,3,2018,SIERRALTA,CIAC,4,70.4
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-987-8358-14-7,MANTENIENDO LA FAMILIA Y LOS NEGOCIOS,1R,2022,STIVELBERG,GRANICA,6,68.0
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-84-17209-83-4,TEMAS CLAVE DE LA EMPRESA FAMILIAR,1,2019,TARRAGONA,PROFIT EDITORIAL,6,58.3
ADMINISTRACION,DIRECCION GERENCIAL / MANAGEMENT,978-607-438-002-6,ADMINISTRACION ESTRATEGICA,3R,2018,TORRES,PATRIA,1,40.0
